x,y,count
2,77,2357093
2,78,2352922
2,79,2352317
2,80,2351426
2,81,2354699
2,82,2353853
2,83,2354450
2,84,2352352
2,85,2348574
2,86,2350043
2,87,2350346
2,88,2350218
2,89,2348915
2,90,2349658
2,91,2350438
2,92,2347629
2,93,2347088
2,94,2345661
2,95,2345137
2,96,2347006
2,97,2349505
2,98,2350872
2,99,1469878
3,0,1503175
3,1,2403015
3,2,2402250
3,3,2403532
3,4,2403352
3,5,2403900
3,6,2403786
3,7,2401190
3,8,2401627
3,9,2399404
3,10,2396618
3,11,2394034
3,12,2393769
3,13,2397572
3,14,2397801
3,15,2397845
3,16,2394946
3,17,2396075
3,18,2394041
3,19,2391950
3,20,2394012
3,21,2394743
3,22,2390779
3,23,2389311
3,24,2392254
3,25,2390255
3,26,2388211
3,27,2389430
3,28,2386661
3,29,2384908
3,30,2383475
3,31,2382950
3,32,2382406
3,33,2381937
3,34,2379967
3,35,2378300
3,36,2376016
3,37,2376457
3,38,2372948
3,39,2375549
3,40,2373512
3,41,2372481
3,42,2372619
3,43,2371344
3,44,2369552
3,45,2365953
3,46,2365569
3,47,2363237
3,48,2360821
3,49,2359031
3,50,2361288
3,51,2361232
3,52,2361446
3,53,2362092
3,54,2362570
3,55,2360558
3,56,2359526
3,57,2360662
3,58,2360728
3,59,2359658
3,60,2358881
3,61,2360036
3,62,2357925
3,63,2357479
3,64,2353947
3,65,2357973
3,66,2355384
3,67,2356791
3,68,2352307
3,69,2349544
3,70,2348969
3,71,2351012
3,72,2351410
3,73,2353976
3,74,2352236
3,75,2351970
3,76,2354199
3,77,2354248
3,78,2353822
3,79,2350179
3,80,2355195
3,81,2354759
3,82,2357045
3,83,2355362
3,84,2352733
3,85,2351624
3,86,2350643
3,87,2349817
3,88,2351325
3,89,2350831
3,90,2348066
3,91,2346555
3,92,2347014
3,93,2344768
3,94,2342427
3,95,2344523
3,96,2344716
3,97,2348603
3,98,2350587
3,99,1471382
4,0,1501739
4,1,2403454
4,2,2404084
4,3,2405019
4,4,2406866
4,5,2404382
4,6,2403907
4,7,2403239
4,8,2400486
4,9,2398822
4,10,2397095
4,11,2398086
4,12,2394443
4,13,2396257
4,14,2394563
4,15,2397195
4,16,2397123
4,17,2395599
4,18,2393813
4,19,2395866
4,20,2394896
4,21,2394891
4,22,2393075
4,23,2392887
4,24,2390854
4,25,2392033
