time,cells
859,9475811887743.857
860,9478873105155.406
861,9481916941240.473
862,9484943488807.385
863,9487952840239.404
864,9490945087495.791
865,9493920322112.887
866,9496878635205.2
867,9499820117466.51
868,9502744859170.977
869,9505652950174.25
870,9508544479914.602
871,9511419537414.055
872,9514278211279.527
873,9517120589703.984
874,9519946760467.59
875,9522756810938.875
876,9525550828075.91
877,9528328898427.482
878,9531091108134.285
879,9533837542930.107
880,9536568288143.033
881,9539283428696.652
882,9541983049111.268
883,9544667233505.115
884,9547336065595.588
885,9549989628700.465
886,9552628005739.146
887,9555251279233.895
888,9557859531311.08
889,9560452843702.434
890,9563031297746.299
891,9565594974388.893
892,9568143954185.572
893,9570678317302.105
894,9573198143515.94
895,9575703512217.484
896,9578194502411.387
897,9580671192717.824
898,9583133661373.787
899,9585581986234.375
900,9588016244774.09
901,9590436514088.139
902,9592842870893.732
903,9595235391531.39
904,9597614151966.254
905,9599979227789.389
906,9602330694219.105
907,9604668626102.271
908,9606993097915.63
909,9609304183767.123
910,9611601957397.207
911,9613886492180.182
912,9616157861125.516
913,9618416136879.176
914,9620661391724.951
915,9622893697585.793
916,9625113126025.139
917,9627319748248.248
918,9629513635103.541
919,9631694857083.93
920,9633863484328.158
921,9636019586622.139
922,9638163233400.287
923,9640294493746.87
924,9642413436397.336
925,9644520129739.664
926,9646614641815.695
927,9648697040322.482
928,9650767392613.623
929,9652825765700.607
930,9654872226254.156
931,9656906840605.56
932,9658929674748.027
933,9660940794338.018
934,9662940264696.584
935,9664928150810.717
936,9666904517334.678
937,9668869428591.342
938,9670822948573.54
939,9672765140945.383
940,9674696069043.617
941,9676615795878.945
942,9678524384137.367
943,9680421896181.516
944,9682308394051.984
945,9684183939468.664
946,9686048593832.074
947,9687902418224.686
948,9689745473412.252
949,9691577819845.14
950,9693399517659.652
951,9695210626679.346
952,9697011206416.361
953,9698801316072.738
954,9700581014541.734
955,9702350360409.145
956,9704109411954.617
957,9705858227152.959
958,9707596863675.455
959,9709325378891.176
960,9711043829868.28
961,9712752273375.32
962,9714450765882.555
963,9716139363563.236
964,9717818122294.918
965,9719487097660.744
966,9721146344950.748
967,9722795919163.143
968,9724435875005.605
969,9726066266896.572
970,9727687148966.514
971,9729298575059.223
972,9730900598733.086
973,9732493273262.37
974,9734076651638.482
975,9735650786571.254
976,9737215730490.2
977,9738771535545.785
978,9740318253610.691
979,9741855936281.068
980,9743384634877.799
981,9744904400447.748
982,9746415283765.012
983,9747917335332.17
984,9749410605381.525
985,9750895143876.348
986,9752371000512.115
987,9753838224717.742
988,9755296865656.816
989,9756746972228.828
990,9758188593070.393
991,9759621776556.477
992,9761046570801.613
993,9762463023661.121
994,9763871182732.316
995,9765271095355.717
996,9766662808616.256
997,9768046369344.479
998,9769421824117.744
999,9770789219261.42
1000,9772148600850.074
1001,9773500014708.662
1002,9774843506413.717
1003,9776179121294.525
1004,9777506904434.307
1005,9778826900671.39
1006,9780139154600.385
1007,9781443710573.344
1008,9782740612700.934
1009,9784029904853.588
1010,9785311630662.668
1011,9786585833521.615
1012,9787852556587.1
1013,9789111842780.162
1014,9790363734787.363
1015,9791608275061.916
1016,9792845505824.818
1017,9794075469065.99
1018,9795298206545.393
1019,9796513759794.158
1020,9797722170115.707
1021,9798923478586.857
1022,9800117726058.947
1023,9801304953158.932
1024,9802485200290.494
1025,9803658507635.146
1026,9804824915153.318
1027,9805984462585.459
1028,9807137189453.117
1029,9808283135060.033
1030,9809422338493.217
1031,9810554838624.021
1032,9811680674109.223
1033,9812799883392.084
1034,9813912504703.422
1035,9815018576062.67
1036,9816118135278.936
1037,9817211219952.05
1038,9818297867473.627
1039,9819378115028.096
1040,9820451999593.756
1041,9821519557943.807
