x,y,count
3,71,3181063
3,72,3182154
3,73,3184344
3,74,3180100
3,75,3181326
3,76,3182505
3,77,3181713
3,78,3178468
3,79,3178099
3,80,3178339
3,81,3181750
3,82,3177538
3,83,3177505
3,84,3176685
3,85,3175020
3,86,3175842
3,87,3177998
3,88,3180406
3,89,3178013
3,90,3176968
3,91,3178360
3,92,3179512
3,93,3181349
3,94,3184740
3,95,3188113
3,96,3190031
3,97,3189780
3,98,3192112
3,99,2393553
4,0,2431740
4,1,3240940
4,2,3244791
4,3,3244970
4,4,3245899
4,5,3242079
4,6,3242331
4,7,3241751
4,8,3243127
4,9,3243943
4,10,3245369
4,11,3242591
4,12,3242660
4,13,3240872
4,14,3237373
4,15,3234910
4,16,3233301
4,17,3229372
4,18,3226411
4,19,3227941
4,20,3231054
4,21,3236639
4,22,3235120
4,23,3230579
4,24,3228279
4,25,3229253
4,26,3223909
4,27,3222324
4,28,3221413
4,29,3218024
4,30,3215905
4,31,3216609
4,32,3216282
4,33,3215924
4,34,3207826
4,35,3202909
4,36,3200336
4,37,3200937
4,38,3198922
4,39,3201063
4,40,3199653
4,41,3193771
4,42,3186437
4,43,3189838
4,44,3190496
4,45,3189489
4,46,3193053
4,47,3190196
4,48,3189448
4,49,3186592
4,50,3185193
4,51,3185071
4,52,3186513
4,53,3187506
4,54,3186683
4,55,3187877
4,56,3188798
4,57,3190652
4,58,3185915
4,59,3185023
4,60,3182644
4,61,3179073
4,62,3180425
4,63,3175737
4,64,3180742
4,65,3181917
4,66,3180949
4,67,3182720
4,68,3181814
4,69,3180180
4,70,3179229
4,71,3179236
4,72,3177846
4,73,3183317
4,74,3181527
4,75,3181216
4,76,3181538
4,77,3178524
4,78,3177290
4,79,3175268
4,80,3175797
4,81,3180644
4,82,3179526
4,83,3178684
4,84,3178722
4,85,3176897
4,86,3180355
4,87,3181401
4,88,3182965
4,89,3179621
4,90,3178460
4,91,3179041
4,92,3178364
4,93,3179660
4,94,3182581
4,95,3187126
4,96,3187922
4,97,3187365
4,98,3191104
4,99,2395704
5,0,2432250
5,1,3242135
5,2,3244405
5,3,3245333
5,4,3244736
5,5,3243246
5,6,3239941
5,7,3243103
5,8,3244562
5,9,3242947
5,10,3244634
5,11,3240109
5,12,3242476
5,13,3242566
5,14,3240132
5,15,3237295
5,16,3233662
5,17,3231977
5,18,3230562
5,19,3227787
5,20,3228908
5,21,3233470
5,22,3235157
5,23,3231184
5,24,3226695
5,25,3227033
5,26,3225315
5,27,3226056
5,28,3224261
5,29,3219580
5,30,3214608
5,31,3214713
5,32,3213751
5,33,3214424
5,34,3208017
5,35,3206367
5,36,3202748
5,37,3198624
5,38,3192854
5,39,3197912
5,40,3197566
5,41,3193373
5,42,3189531
5,43,3190636
5,44,3188556
5,45,3186931
5,46,3188289
5,47,3187669
5,48,3185470
5,49,3184479
5,50,3185915
5,51,3183949
5,52,3185885
5,53,3186850
5,54,3185575
5,55,3190503
5,56,3193501
5,57,3190946
5,58,3185006
5,59,3185002
5,60,3184313
5,61,3178661
5,62,3179627
5,63,3176628
5,64,3179602
5,65,3178709
5,66,3178857
5,67,3183389
5,68,3181099
5,69,3183229
5,70,3180102
5,71,3178962
5,72,3177509
5,73,3178035
5,74,3179808
5,75,3180895
5,76,3179795
5,77,3177783
5,78,3175843
5,79,3172621
5,80,3173979
5,81,3178482
5,82,3179129
5,83,3180620
5,84,3180240
5,85,3179342
5,86,3182733
5,87,3180401
5,88,3181533
5,89,3181040
5,90,3181419
5,91,3182644
5,92,3177170
5,93,3178746
5,94,3180440
5,95,3184040
5,96,3184432
5,97,3188145
5,98,3189851
5,99,2392754
6,0,2433822
6,1,3246855
6,2,3247440
6,3,3246579
6,4,3244721
6,5,3244901
6,6,3238350
6,7,3239807
6,8,3241342
6,9,3246941
6,10,3246376
6,11,3242921
6,12,3244185
6,13,3241852
6,14,3241241
6,15,3236082
6,16,3231822
6,17,3229682
6,18,3230435
6,19,3230701
6,20,3228551
6,21,3229871
6,22,3229734
6,23,3227428
6,24,3223385
6,25,3221803
6,26,3223457
6,27,3226601
6,28,3222830
6,29,3222470
6,30,3219650
6,31,3217888
6,32,3212703
6,33,3210607
6,34,3205555
6,35,3205222
6,36,3200891
6,37,3199154
6,38,3194992
6,39,3193070
6,40,3196238
6,41,3191860
6,42,3191533
6,43,3192293
6,44,3189650
6,45,3187734
6,46,3186794
6,47,3183861
6,48,3181057
6,49,3180464
6,50,3185628
6,51,3186258
6,52,3186298
6,53,3186436
6,54,3184048
6,55,3188905
6,56,3192306
6,57,3188670
6,58,3184182
6,59,3184103
6,60,3181635
6,61,3175125
6,62,3176293
6,63,3178092
6,64,3176806
6,65,3173400
6,66,3175518
6,67,3178729
6,68,3182528
6,69,3184069
6,70,3181544
6,71,3178960
6,72,3178131
6,73,3177513
6,74,3180578
6,75,3184519
6,76,3181480
6,77,3176521
6,78,3175455
6,79,3174815
6,80,3175223
6,81,3178530
6,82,3179081
6,83,3181878
6,84,3179961
6,85,3181103
6,86,3182487
6,87,3183208
6,88,3181937
6,89,3179149
6,90,3181275
6,91,3182290
6,92,3176421
6,93,3180765
6,94,3183049
6,95,3185454
6,96,3184762
6,97,3187732
6,98,3188100
6,99,2388715
7,0,2437289
7,1,3248413
7,2,3247084
7,3,3246244
7,4,3246856
7,5,3244907
7,6,3239629
7,7,3242371
7,8,3243037
7,9,3246952
